Rank,Standard Score,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White
11,77.9,Robinson Secondary,https://www.sd.com/go/VA/schools/0126000561/school.aspx,Fairfax County Public Schools,https://www.sd.com/go/VA/district/01260/search.aspx,5035 Sideburn Rd,Fairfax,https://www.sd.com/go/VA/city/Fairfax/search.aspx,22032,Fairfax County,(703) 426-2100,7,12,No,No,Yes,No,3818,252.6,15.1,0.11,0.06,0,0.13,0.15,0,0.07,0.59
12,77.6,Briar Woods High,https://www.sd.com/go/VA/schools/0225002451/school.aspx,Loudoun County Public Schools,https://www.sd.com/go/VA/district/02250/search.aspx,22525 Belmont Ridge Road,Ashburn,https://www.sd.com/go/VA/city/Ashburn/search.aspx,20148,Loudoun County,(703) 957-4400,9,12,No,No,No,No,1863,139.1,13.3,0.05,0.05,0,0.26,0.09,0,0.06,0.54
13,77.6,McLean High,https://www.sd.com/go/VA/schools/0126000538/school.aspx,Fairfax County Public Schools,https://www.sd.com/go/VA/district/01260/search.aspx,1633 Davidson Rd,McLean,https://www.sd.com/go/VA/city/McLean/search.aspx,22101,Fairfax County,(703) 714-5700,9,12,No,No,No,No,2275,137.6,16.5,0.08,0.03,0,0.25,0.11,0,0.06,0.55
14,76.8,Patriot High,https://www.sd.com/go/VA/schools/0313002850/school.aspx,Prince William County Public Schools,https://www.sd.com/go/VA/district/03130/search.aspx,10504 Kettle Run Road,Nokesville,https://www.sd.com/go/VA/city/Nokesville/search.aspx,20181,Prince William County,(703) 594-3020,9,12,No,No,Yes,No,2722,166,16.3,0.13,0.11,0,0.14,0.17,0,0.07,0.52
15,76.4,Green Run Collegiate,https://www.sd.com/go/VA/schools/0384002957/school.aspx,Va Beach City Public Schools,https://www.sd.com/go/VA/district/03840/search.aspx,1700 Dahlia Drive,Virginia Beach,https://www.sd.com/go/VA/city/Virginia+Beach/search.aspx,23453,Virginia Beach city,(757) 263-1264,9,12,No,Yes,No,No,360,29.7,12,0.46,0.4,0.01,0.06,0.13,0.01,0.11,0.28
16,76.2,Hidden Valley High,https://www.sd.com/go/VA/schools/0333002308/school.aspx,Roanoke County Public Schools,https://www.sd.com/go/VA/district/03330/search.aspx,5000 Titan Trail,Roanoke,https://www.sd.com/go/VA/city/Roanoke/search.aspx,24018,Roanoke County,(540) 776-7320,9,12,No,No,No,No,833,57,14.6,0.18,0.05,0,0.07,0.04,0,0.07,0.77
17,75.9,Fort Chiswell High,https://www.sd.com/go/VA/schools/0411001800/school.aspx,Wythe County Public Schools,https://www.sd.com/go/VA/district/04110/search.aspx,#1 Pioneer Trail,Max Meadows,https://www.sd.com/go/VA/city/Max+Meadows/search.aspx,24360,Wythe County,(276) 637-3437,9,12,No,No,No,No,491,33.7,14.5,0.44,0.02,0,0,0.01,0,0.02,0.95
18,75.2,George Wythe High,https://www.sd.com/go/VA/schools/0411001801/school.aspx,Wythe County Public Schools,https://www.sd.com/go/VA/district/04110/search.aspx,1 Maroon Way,Wytheville,https://www.sd.com/go/VA/city/Wytheville/search.aspx,24382,Wythe County,(276) 228-3157,9,12,No,No,No,No,406,24.1,16.7,0.51,0.11,0,0.02,0.03,0,0.03,0.82
19,75.1,Louisa County High,https://www.sd.com/go/VA/schools/0228000939/school.aspx,Louisa County Public Schools,https://www.sd.com/go/VA/district/02280/search.aspx,757 Davis Hwy,Mineral,https://www.sd.com/go/VA/city/Mineral/search.aspx,23117,Louisa County,(540) 894-5436,9,12,No,No,No,No,1434,114.7,12.5,0.39,0.18,0,0.01,0.05,0,0.06,0.7
20,75.1,Richlands High,https://www.sd.com/go/VA/schools/0381001661/school.aspx,Tazewell County Public Schools,https://www.sd.com/go/VA/district/03810/search.aspx,138 Tornado Alley,Richlands,https://www.sd.com/go/VA/city/Richlands/search.aspx,24641,Tazewell County,(276) 964-4602,9,12,No,No,No,No,721,44.9,16,0.51,0.01,0,0,0.01,0,0.01,0.97
21,74.7,Grafton High,https://www.sd.com/go/VA/schools/0415001443/school.aspx,York County Public Schools,https://www.sd.com/go/VA/district/04150/search.aspx,403 Grafton Dr,Yorktown,https://www.sd.com/go/VA/city/Yorktown/search.aspx,23692,York County,(757) 898-0530,9,12,No,No,No,No,1169,87.4,13.3,0.29,0.12,0,0.09,0.07,0,0.13,0.59
22,74.5,Woodson High,https://www.sd.com/go/VA/schools/0126000600/school.aspx,Fairfax County Public Schools,https://www.sd.com/go/VA/district/01260/search.aspx,9525 Main St,Fairfax,https://www.sd.com/go/VA/city/Fairfax/search.aspx,22031,Fairfax County,(703) 503-4600,9,12,No,No,No,No,2410,165.4,14.5,0.12,0.05,0,0.25,0.13,0,0.06,0.52
23,74.4,Battlefield High,https://www.sd.com/go/VA/schools/0313002457/school.aspx,Prince William County Public Schools,https://www.sd.com/go/VA/district/03130/search.aspx,15000 Graduation Dr.,Haymarket,https://www.sd.com/go/VA/city/Haymarket/search.aspx,20169,Prince William County,(571) 261-4400,9,12,No,No,Yes,No,3032,171.3,17.6,0.11,0.09,0,0.12,0.13,0,0.08,0.58
24,74.4,Midlothian High,https://www.sd.com/go/VA/schools/0084002006/school.aspx,Chesterfield County Public Schools,https://www.sd.com/go/VA/district/00840/search.aspx,401 Charter Colony Pkwy.,Midlothian,https://www.sd.com/go/VA/city/Midlothian/search.aspx,23114,Chesterfield County,(804) 378-2440,9,12,No,No,No,No,1798,105.3,17,0.1,0.09,0,0.06,0.06,0,0.05,0.74
25,74.2,Bland County High,https://www.sd.com/go/VA/schools/0039003009/school.aspx,Bland County Public Schools,https://www.sd.com/go/VA/district/00390/search.aspx,176 Eagles Road,Rocky Gap,https://www.sd.com/go/VA/city/Rocky+Gap/search.aspx,24366,Bland County,(276) 928-1100,7,12,No,No,No,No,364,25.4,14.3,0.42,0,0,0,0,0,0.03,0.97
26,74.1,Western Branch High,https://www.sd.com/go/VA/schools/0081000312/school.aspx,Chesapeake City Public Schools,https://www.sd.com/go/VA/district/00810/search.aspx,1968 Bruin Pl,Chesapeake,https://www.sd.com/go/VA/city/Chesapeake/search.aspx,23321,Chesapeake city,(757) 638-7900,9,12,No,No,No,No,2144,136,15.7,0.3,0.42,0,0.04,0.06,0,0.06,0.42
27,73.6,Cave Spring High,https://www.sd.com/go/VA/schools/0333001447/school.aspx,Roanoke County Public Schools,https://www.sd.com/go/VA/district/03330/search.aspx,3712 Chaparral Dr,Roanoke,https://www.sd.com/go/VA/city/Roanoke/search.aspx,24018,Roanoke County,(540) 772-7550,9,12,No,No,No,No,1027,73.1,14,0.18,0.06,0,0.06,0.04,0,0.05,0.8
28,73,Central High,https://www.sd.com/go/VA/schools/0408001789/school.aspx,Wise County Public Schools,https://www.sd.com/go/VA/district/04080/search.aspx,5000 Warrior Drive,Norton,https://www.sd.com/go/VA/city/Norton/search.aspx,24273,Norton city,(276) 328-8015,9,12,No,No,No,No,633,35.5,17.8,0.42,0.01,0,0.01,0.01,0,0,0.97
29,72.9,Woodgrove High,https://www.sd.com/go/VA/schools/0225002812/school.aspx,Loudoun County Public Schools,https://www.sd.com/go/VA/district/02250/search.aspx,36811 Allder School Road,Purcellville,https://www.sd.com/go/VA/city/Purcellville/search.aspx,20132,Loudoun County,(571) 751-2600,PK,12,No,No,No,No,1618,145.9,11,0.07,0.03,0,0.03,0.08,0,0.03,0.83
30,72.7,Riverside High,https://www.sd.com/go/VA/schools/0225003001/school.aspx,Loudoun County Public Schools,https://www.sd.com/go/VA/district/02250/search.aspx,19019 Upper Belmont Place,Leesburg,https://www.sd.com/go/VA/city/Leesburg/search.aspx,20176,Loudoun County,(703) 554-8900,9,12,No,No,No,No,1802,118.7,15.1,0.09,0.08,0,0.18,0.11,0,0.06,0.57
31,72.5,Atlee High,https://www.sd.com/go/VA/schools/0183000114/school.aspx,Hanover County Public Schools,https://www.sd.com/go/VA/district/01830/search.aspx,9414 Atlee Station Road,Mechanicsville,https://www.sd.com/go/VA/city/Mechanicsville/search.aspx,23116,Hanover County,(804) 723-2100,9,12,No,No,No,No,1615,100.8,16,0.1,0.08,0,0.04,0.03,0,0.02,0.83
32,72.2,West Point Middle/High,https://www.sd.com/go/VA/schools/0395001763/school.aspx,West Point Public Schools,https://www.sd.com/go/VA/district/03950/search.aspx,2700 Mattaponi Ave,West Point,https://www.sd.com/go/VA/city/West+Point/search.aspx,23181,King William County,(804) 843-3630,6,12,No,No,No,No,271,21,12.8,0.23,0.1,0.01,0.03,0.04,0,0.09,0.73
33,71.9,Tazewell High,https://www.sd.com/go/VA/schools/0381001668/school.aspx,Tazewell County Public Schools,https://www.sd.com/go/VA/district/03810/search.aspx,167 Cosby Blvd,Tazewell,https://www.sd.com/go/VA/city/Tazewell/search.aspx,24651,Tazewell County,(276) 988-6502,9,12,No,No,No,No,505,42.6,11.8,0.53,0.02,0,0.01,0.01,0,0.02,0.94
34,71.5,Freedom High,https://www.sd.com/go/VA/schools/0225002447/school.aspx,Loudoun County Public Schools,https://www.sd.com/go/VA/district/02250/search.aspx,25450 Riding Center Drive,South Riding,https://www.sd.com/go/VA/city/South+Riding/search.aspx,20152,Loudoun County,(703) 957-4300,9,12,No,No,No,No,2073,156.7,13.2,0.09,0.06,0,0.31,0.1,0,0.05,0.48
35,71.2,Tangier Combined,https://www.sd.com/go/VA/schools/0006000014/school.aspx,Accomack County Public Schools,https://www.sd.com/go/VA/district/00060/search.aspx,4375 School Lane,Tangier,https://www.sd.com/go/VA/city/Tangier/search.aspx,23440,Accomack County,(757) 891-2315,PK,12,No,No,No,No,52,8.7,5.9,0.39,0,0,0,0,0,0,1
36,71.2,Colonial Forge High,https://www.sd.com/go/VA/schools/0366001923/school.aspx,Stafford County Public Schools,https://www.sd.com/go/VA/district/03660/search.aspx,550 Courthouse Rd,Stafford,https://www.sd.com/go/VA/city/Stafford/search.aspx,22554,Stafford County,(540) 658-6115,9,12,No,No,No,No,2084,127.4,16.3,0.18,0.26,0,0.04,0.15,0,0.08,0.46
37,71,Rock Ridge High,https://www.sd.com/go/VA/schools/0225002969/school.aspx,Loudoun County Public Schools,https://www.sd.com/go/VA/district/02250/search.aspx,43460 Loudoun Reserve Drive,Ashburn,https://www.sd.com/go/VA/city/Ashburn/search.aspx,20148,Loudoun County,(703) 996-2100,PK,12,No,No,No,No,2222,153,14.5,0.11,0.09,0,0.38,0.1,0,0.06,0.38
38,70.6,Frank W. Cox High,https://www.sd.com/go/VA/schools/0384002049/school.aspx,Va Beach City Public Schools,https://www.sd.com/go/VA/district/03840/search.aspx,2425 Shorehaven Dr,Virginia Beach,https://www.sd.com/go/VA/city/Virginia+Beach/search.aspx,23454,Virginia Beach city,(757) 648-5250,9,12,No,No,No,No,1815,112,16.2,0.22,0.12,0,0.03,0.08,0,0.06,0.71
39,70.5,Godwin High,https://www.sd.com/go/VA/schools/0189001851/school.aspx,Henrico County Public Schools,https://www.sd.com/go/VA/district/01890/search.aspx,2101 Pump Rd,Richmond,https://www.sd.com/go/VA/city/Richmond/search.aspx,23238,Henrico County,(804) 750-2600,9,12,No,No,Yes,No,1861,92.3,20.1,0.17,0.08,0,0.14,0.07,0,0.04,0.66
40,70.3,York High,https://www.sd.com/go/VA/schools/0415001823/school.aspx,York County Public Schools,https://www.sd.com/go/VA/district/04150/search.aspx,9300 Geo Wash Mem Hwy,Yorktown,https://www.sd.com/go/VA/city/Yorktown/search.aspx,23692,York County,(757) 898-0354,9,12,No,No,No,No,1120,78.7,14.2,0.2,0.11,0,0.06,0.08,0,0.08,0.66
41,69.9,Lake Braddock Secondary,https://www.sd.com/go/VA/schools/0126000516/school.aspx,Fairfax County Public Schools,https://www.sd.com/go/VA/district/01260/search.aspx,9200 Burke Lake Rd,Burke,https://www.sd.com/go/VA/city/Burke/search.aspx,22015,Fairfax County,(703) 426-1000,7,12,No,No,Yes,No,4287,268.5,15.9,0.15,0.08,0,0.21,0.17,0,0.07,0.47
42,69.8,Churchland High,https://www.sd.com/go/VA/schools/0300000375/school.aspx,Portsmouth City Public Schools,https://www.sd.com/go/VA/district/03000/search.aspx,4301 Cedar Ln,Portsmouth,https://www.sd.com/go/VA/city/Portsmouth/search.aspx,23703,Portsmouth city,(757) 686-2500,9,12,No,No,Yes,No,1415,94.9,14.9,0.43,0.68,0,0.01,0.04,0.01,0.04,0.23
43,69.7,Galileo Magnet High,https://www.sd.com/go/VA/schools/0111002261/school.aspx,Danville City Public Schools,https://www.sd.com/go/VA/district/01110/search.aspx,230 S. Ridge St.,Danville,https://www.sd.com/go/VA/city/Danville/search.aspx,24541,Danville city,(434) 773-8186,9,12,No,No,Yes,No,290,23,12.6,0.99,0.43,0,0.03,0.06,0,0.02,0.46
44,69.4,Marshall High,https://www.sd.com/go/VA/schools/0126000535/school.aspx,Fairfax County Public Schools,https://www.sd.com/go/VA/district/01260/search.aspx,7731 Leesburg Pike,Falls Church,https://www.sd.com/go/VA/city/Falls+Church/search.aspx,22043,Fairfax County,(703) 714-5400,9,12,No,No,No,No,2254,135.7,16.6,0.17,0.06,0,0.2,0.19,0,0.07,0.49
45,69.2,Glenvar High,https://www.sd.com/go/VA/schools/0333001457/school.aspx,Roanoke County Public Schools,https://www.sd.com/go/VA/district/03330/search.aspx,4549 Malus Dr,Salem,https://www.sd.com/go/VA/city/Salem/search.aspx,24153,Salem city,(540) 387-6536,9,12,No,No,No,No,583,45.6,12.7,0.21,0.03,0,0.02,0.03,0,0.03,0.88
46,69.2,Twin Springs High,https://www.sd.com/go/VA/schools/0348001539/school.aspx,Scott County Public Schools,https://www.sd.com/go/VA/district/03480/search.aspx,273 Titan Lane,Nickelsville,https://www.sd.com/go/VA/city/Nickelsville/search.aspx,24271,Scott County,(276) 479-2185,8,12,No,No,No,No,221,22.9,9.6,0.67,0,0,0,0.04,0,0.01,0.95
47,69,Poquoson High,https://www.sd.com/go/VA/schools/0298001231/school.aspx,Poquoson City Public Schools,https://www.sd.com/go/VA/district/02980/search.aspx,51 Odd Rd,Poquoson,https://www.sd.com/go/VA/city/Poquoson/search.aspx,23662,Poquoson city,(757) 868-7123,9,12,No,No,No,No,714,64.4,11,0.12,0.01,0,0.02,0.04,0.01,0.03,0.89
48,68.9,Tabb High,https://www.sd.com/go/VA/schools/0415001820/school.aspx,York County Public Schools,https://www.sd.com/go/VA/district/04150/search.aspx,4431 Big Bethel Rd,Yorktown,https://www.sd.com/go/VA/city/Yorktown/search.aspx,23693,York County,(757) 867-7400,9,12,No,No,No,No,1120,88.1,12.7,0.16,0.12,0,0.07,0.14,0.01,0.09,0.58
49,68.7,Stuarts Draft High,https://www.sd.com/go/VA/schools/0030000132/school.aspx,Augusta County Public Schools,https://www.sd.com/go/VA/district/00300/search.aspx,1028 Augusta Farm Rd,Stuarts Draft,https://www.sd.com/go/VA/city/Stuarts+Draft/search.aspx,24477,Augusta County,(540) 946-7600,9,12,No,No,No,No,706,53.5,13.1,0.34,0.03,0,0.01,0.05,0,0.04,0.88
50,68.5,Chantilly High,https://www.sd.com/go/VA/schools/0126000059/school.aspx,Fairfax County Public Schools,https://www.sd.com/go/VA/district/01260/search.aspx,4201 Stringfellow Rd,Chantilly,https://www.sd.com/go/VA/city/Chantilly/search.aspx,20151,Fairfax County,(703) 222-8100,9,12,No,No,No,No,2863,174.1,16.4,0.16,0.07,0,0.36,0.13,0,0.05,0.39
51,68.5,Charles J Colgan Senior High,https://www.sd.com/go/VA/schools/0313003025/school.aspx,Prince William County Public Schools,https://www.sd.com/go/VA/district/03130/search.aspx,13833 Dumfries Rd,Manassas,https://www.sd.com/go/VA/city/Manassas/search.aspx,20112,Prince William County,(571) 374-6550,9,12,No,No,Yes,No,2582,145,17.8,0.18,0.18,0,0.07,0.18,0,0.07,0.48
52,68.5,Stone Bridge High,https://www.sd.com/go/VA/schools/0225002538/school.aspx,Loudoun County Public Schools,https://www.sd.com/go/VA/district/02250/search.aspx,43100 Hay Road,Ashburn,https://www.sd.com/go/VA/city/Ashburn/search.aspx,20147,Loudoun County,(571) 252-2200,9,12,No,No,No,No,1717,132.3,12.9,0.1,0.07,0,0.14,0.12,0,0.06,0.6
53,68.4,Glen Allen High,https://www.sd.com/go/VA/schools/0189002837/school.aspx,Henrico County Public Schools,https://www.sd.com/go/VA/district/01890/search.aspx,10700 Staples Mill Road,Glen Allen,https://www.sd.com/go/VA/city/Glen+Allen/search.aspx,23060,Henrico County,(804) 501-3300,9,12,No,No,Yes,No,1850,95.7,19.3,0.2,0.17,0,0.11,0.06,0,0.05,0.61
54,68.4,Graham High,https://www.sd.com/go/VA/schools/0381001653/school.aspx,Tazewell County Public Schools,https://www.sd.com/go/VA/district/03810/search.aspx,210 Valleydale,Bluefield,https://www.sd.com/go/VA/city/Bluefield/search.aspx,24605,Tazewell County,(276) 326-1235,9,12,No,No,No,No,519,37,14,0.36,0.05,0,0.02,0,0,0.03,0.89
55,68.4,Broad Run High,https://www.sd.com/go/VA/schools/0225000913/school.aspx,Loudoun County Public Schools,https://www.sd.com/go/VA/district/02250/search.aspx,21670 Ashburn Rd,Ashburn,https://www.sd.com/go/VA/city/Ashburn/search.aspx,20147,Loudoun County,(571) 252-2300,9,12,No,No,No,No,1600,126.1,12.6,0.15,0.1,0,0.23,0.14,0,0.05,0.48
56,68.1,Great Bridge High,https://www.sd.com/go/VA/schools/0081002031/school.aspx,Chesapeake City Public Schools,https://www.sd.com/go/VA/district/00810/search.aspx,301 West Hanbury Rd,Chesapeake,https://www.sd.com/go/VA/city/Chesapeake/search.aspx,23322,Chesapeake city,(757) 482-5191,9,12,No,No,No,No,1428,94,15.1,0.19,0.2,0,0.03,0.08,0,0.07,0.62
57,67.8,George Mason High,https://www.sd.com/go/VA/schools/0129000283/school.aspx,Falls Church City Public Schools,https://www.sd.com/go/VA/district/01290/search.aspx,7124 Leesburg Pike,Falls Church,https://www.sd.com/go/VA/city/Falls+Church/search.aspx,22043,Fairfax County,(703) 248-5500,9,12,No,No,No,No,825,62.9,13,,0.04,0,0.07,0.15,0,0.09,0.65
58,67.8,Salem High,https://www.sd.com/go/VA/schools/0384002166/school.aspx,Va Beach City Public Schools,https://www.sd.com/go/VA/district/03840/search.aspx,1993 Sun Devil Dr,Virginia Beach,https://www.sd.com/go/VA/city/Virginia+Beach/search.aspx,22464,Virginia Beach city,(757) 648-5650,9,12,No,No,No,No,1757,110.2,15.9,0.35,0.3,0,0.1,0.11,0.01,0.11,0.38
59,66.9,Hanover High,https://www.sd.com/go/VA/schools/0183002338/school.aspx,Hanover County Public Schools,https://www.sd.com/go/VA/district/01830/search.aspx,10307 Chamberlayne Rd.,Mechanicsville,https://www.sd.com/go/VA/city/Mechanicsville/search.aspx,23116,Hanover County,(804) 723-3700,9,12,No,No,No,No,1405,92.2,15.2,0.14,0.1,0,0.02,0.04,0,0.03,0.81
60,66.9,Ocean Lakes High,https://www.sd.com/go/VA/schools/0384001046/school.aspx,Va Beach City Public Schools,https://www.sd.com/go/VA/district/03840/search.aspx,885 Schuman Drive,Virginia Beach,https://www.sd.com/go/VA/city/Virginia+Beach/search.aspx,23454,Virginia Beach city,(757) 648-5550,9,12,No,No,Yes,No,2069,126.3,16.3,0.28,0.15,0,0.08,0.1,0.01,0.08,0.59
61,66.3,Blacksburg High,https://www.sd.com/go/VA/schools/0252001016/school.aspx,Montgomery County Public Schools,https://www.sd.com/go/VA/district/02520/search.aspx,3401 Bruin Lane,Blacksburg,https://www.sd.com/go/VA/city/Blacksburg/search.aspx,24060,Montgomery County,(540) 951-5706,9,12,No,No,No,No,1207,88.6,13.6,0.16,0.04,0,0.07,0.05,0,0.06,0.79
62,66.1,Western Albemarle High,https://www.sd.com/go/VA/schools/0009000035/school.aspx,Albemarle County Public Schools,https://www.sd.com/go/VA/district/00090/search.aspx,5941 Rockfish Gap Turnpike,Crozet,https://www.sd.com/go/VA/city/Crozet/search.aspx,22932,Albemarle County,(434) 823-8700,9,12,No,No,Yes,No,1158,82.3,14,0.1,0.02,0,0.02,0.04,0,0.03,0.88
63,65.7,Orange County High,https://www.sd.com/go/VA/schools/0282001174/school.aspx,Orange County Public Schools,https://www.sd.com/go/VA/district/02820/search.aspx,201 Selma Road,Orange,https://www.sd.com/go/VA/city/Orange/search.aspx,22960,Orange County,(540) 661-4300,9,12,No,No,No,No,1499,92.7,16.1,0.35,0.14,0,0.01,0.08,0,0.08,0.69
64,65.6,Riverheads High,https://www.sd.com/go/VA/schools/0030000129/school.aspx,Augusta County Public Schools,https://www.sd.com/go/VA/district/00300/search.aspx,19 Howardsville Rd,Staunton,https://www.sd.com/go/VA/city/Staunton/search.aspx,24401,Staunton city,(540) 337-1921,9,12,No,No,No,No,457,36.2,12.6,0.29,0.02,0,0.01,0.02,0,0.02,0.92
65,65.6,Osbourn Park High,https://www.sd.com/go/VA/schools/0313001313/school.aspx,Prince William County Public Schools,https://www.sd.com/go/VA/district/03130/search.aspx,8909 Euclid Ave,Manassas,https://www.sd.com/go/VA/city/Manassas/search.aspx,20111,Prince William County,(703) 365-6500,9,12,No,No,Yes,No,2389,138.3,17.2,0.34,0.17,0,0.15,0.33,0,0.05,0.3
66,65.6,Madison High,https://www.sd.com/go/VA/schools/0126000532/school.aspx,Fairfax County Public Schools,https://www.sd.com/go/VA/district/01260/search.aspx,2500 James Madison Dr,Vienna,https://www.sd.com/go/VA/city/Vienna/search.aspx,22181,Fairfax County,(703) 319-2300,9,12,No,No,No,No,2225,149.1,14.9,0.1,0.02,0,0.14,0.12,0,0.07,0.65
67,65.4,Mountain View High,https://www.sd.com/go/VA/schools/0366002464/school.aspx,Stafford County Public Schools,https://www.sd.com/go/VA/district/03660/search.aspx,2135 Mountain View Road,Stafford,https://www.sd.com/go/VA/city/Stafford/search.aspx,22556,Stafford County,(540) 658-6840,9,12,No,No,No,No,1843,110.5,16.6,0.16,0.12,0,0.03,0.16,0.01,0.07,0.62
68,65.1,Jamestown High,https://www.sd.com/go/VA/schools/0402001665/school.aspx,Williamsburg-James City Public Schools,https://www.sd.com/go/VA/district/04020/search.aspx,3751 John Tyler Hwy,Williamsburg,https://www.sd.com/go/VA/city/Williamsburg/search.aspx,23135,James City County,(757) 259-3600,9,12,No,No,No,No,1308,78.5,16.6,0.19,0.1,0,0.03,0.11,0,0.06,0.7
69,64.8,Loudoun Valley High,https://www.sd.com/go/VA/schools/0225000924/school.aspx,Loudoun County Public Schools,https://www.sd.com/go/VA/district/02250/search.aspx,340 N Maple Ave,Purcellville,https://www.sd.com/go/VA/city/Purcellville/search.aspx,20132,Loudoun County,(540) 751-2400,9,12,No,No,No,No,1349,109.9,12.2,0.09,0.04,0,0.04,0.09,0,0.06,0.78
70,64.2,James River High,https://www.sd.com/go/VA/schools/0042000171/school.aspx,Botetourt County Public Schools,https://www.sd.com/go/VA/district/00420/search.aspx,9906 Springwood Rd,Buchanan,https://www.sd.com/go/VA/city/Buchanan/search.aspx,24066,Botetourt County,(540) 254-1121,9,12,No,No,No,No,535,40.7,13.1,0.23,0.02,0.01,0.01,0.02,0,0.02,0.94
